longitude,latitude,SOC,Slope,Biomass,Precipitation,TPI,Temperature,NPP,SolarRadiation,WindSpeed,SinAspect,CosAspect,hex_id,foldID
-2104769.946,2852351.026,3.453333333,-0.136793416,5.541756021,3.17464348,-0.118351465,-0.252054361,2.219003847,-1.904347185,0.650229527,-0.710933693,-1.205218808,393,1
1831568.855,2506381.184,1.634,0.217090044,1.273749793,0.722658856,2.013920111,-0.832023568,2.214648296,-0.662024246,0.699919563,-0.521756907,1.3383688,5537,3
1830547.208,2498848.758,1.883333333,1.784197328,1.615602045,1.06579966,-0.780256687,-0.8521091,2.210345486,-0.265494331,1.423050958,1.050563091,-0.903771425,5537,3
1830776.242,2498106.6,1.716666667,1.784197328,1.615602045,1.06579966,-0.780256687,-0.8521091,2.210345486,-0.265494331,1.423050958,1.050563091,-0.903771425,5537,3
1928773.339,2285007.145,4.135,-0.175652438,0.879303342,1.26664337,0.704407356,-0.126702351,2.209677875,-0.756152134,1.740972424,0.952070415,1.050652695,5699,2
1928645.973,2285135.32,3.136666667,-0.175652438,0.879303342,1.26664337,0.704407356,-0.126702351,2.209677875,-0.756152134,1.740972424,0.952070415,1.050652695,5699,2
-2080078.147,2940229.304,9.043333333,0.03849096,2.018789641,3.110505261,-2.19964207,-0.105511991,2.209502504,-2.160246784,-0.076205966,1.210894799,-0.683796095,394,2
1244769.331,1583229.708,1.538666667,2.903363909,2.292102402,1.335910324,4.070991805,0.028012829,2.207131348,0.246457459,2.252243117,-0.738759939,-1.189545063,4767,2
1287647.247,2214375.819,3.343333333,-0.176172073,1.450992801,0.819335992,0.299388879,-0.277226963,2.188496983,-1.131318633,1.173488696,-1.228898436,0.764607481,4840,5
1230654.494,1543179.578,5.595,1.809247842,1.220688598,1.446905218,-4.413609206,-0.116430583,2.181155835,0.069111468,-1.622530796,0.023046828,-1.381545961,4734,5
1234705.196,1534876.716,2.2,0.008720467,1.822137118,1.187515447,2.853068417,-0.115530299,2.180435913,0.15782685,-1.318879885,-0.498024288,1.346968105,4734,5
1836924.501,2417691.298,1.058,2.203701178,1.952558548,0.957267371,1.718089399,-0.782567004,2.180154633,-0.665779254,-1.052731359,-1.44241761,0.064188581,5536,4
1351588.765,562431.3653,1.766666667,-0.604996173,-0.023185645,1.482035575,-0.007454921,2.612441254,2.1791187,0.420527202,-0.427799576,0.091319729,1.424517965,4887,2
1169447.597,1457694.635,3.151,0.891765654,1.390613646,1.801205902,4.740393811,-0.033796287,2.17906596,0.036509672,1.431068686,-1.295271501,-0.600194013,4667,2
-2106323.674,2795422.571,3.161666667,1.423885053,2.943782572,1.491338993,-2.644352038,0.074993205,2.178679629,-1.617649017,0.186508418,-0.829121655,1.17929945,359,4
1830589.784,2499050.886,1.82,2.664148698,2.090889072,1.077563183,-0.919353996,-0.869298018,2.175588551,-0.28607219,1.423050958,0.81345421,-1.11653642,5537,3
1217552.51,1514361.817,1.790666667,2.4212896,1.251295404,0.994784808,0.774173121,0.159821023,2.17074119,-0.205331054,-0.172104814,0.944769428,1.057334979,4766,3
-2291163.288,1892194.459,1.13,0.33994196,-0.337580695,-0.337117254,-0.777031182,0.451278799,2.153599838,0.346020459,2.215658868,-1.198242235,-0.764667259,118,1
821972.8137,890302.9556,0.65,-0.50768737,0.088997578,2.137182412,0.120055713,1.820772684,2.139531984,0.165487031,-0.350165573,1.393078258,-0.151899517,4231,1
1835251.182,2374280.635,2.88,-0.353321662,0.940214248,0.988216661,-0.154400059,-0.6816264,2.13758232,-0.639487744,0.411894926,1.017287604,0.986522962,5568,4
566633.7665,2694519.355,1.583666667,-0.196408725,1.195298062,0.143821511,0.372227229,-1.171708392,2.132542007,-1.251581407,2.280379903,-0.503710351,-1.298345534,3889,4
1833307.34,2373329.406,1.926666667,0.381832529,1.737240621,0.979667934,0.052726379,-0.686055925,2.124638728,-0.548909796,0.292333764,-1.049977875,0.992931437,5568,4
1243943.75,891302.7861,0.655333333,-0.561499078,0.903616664,1.293590129,-0.00291946,2.056931654,2.122179672,0.358734683,-1.097910302,0.080054517,1.425341349,4759,1
-2131249.3,2713414.7,4.569666667,0.819176356,4.60727105,1.44626881,2.603652755,0.014863544,2.122127362,-1.481059108,0.839102038,-0.94900721,1.087769246,358,2
1907629.795,2293962.962,5.112,-0.253717935,2.151262572,1.206480747,1.09724613,-0.147959293,2.12128395,-0.606857689,0.625888607,-1.436362197,0.159072711,5633,5
1801699.698,1995097.273,0.465333333,-0.562008651,2.517202213,0.911384187,0.059861823,0.439856146,2.118878064,-0.658860222,0.487395203,1.40406569,0.041306084,5531,2
-2204710.75,2603941.093,3.687666667,0.416009686,3.546368395,1.992271943,-2.870176377,0.286374159,2.115628767,-1.288257116,0.9172009,1.402938896,0.082036413,258,5
-2204510.847,2603362.911,3.193666667,0.416009686,3.546368395,1.992271943,-2.870176377,0.286374159,2.115628767,-1.288257116,0.9172009,1.402938896,0.082036413,258,5
1860674.307,2559068.481,2.06,1.505725759,1.41334727,0.635875452,0.865251654,-1.134552604,2.111958407,-0.632415315,1.428340057,-0.039842861,-1.382026753,5604,5
1790988.228,1916404.919,1.046666667,-0.581862468,2.549604329,1.032362499,0.024397958,0.635299143,2.10928882,-0.642022839,2.531933142,-0.691738797,-1.215560216,5497,1
1837254.863,2376621.779,1.22,1.304086095,1.320914372,0.992237516,-1.484435468,-0.705980823,2.109113021,-0.795789221,0.531836496,-1.437365614,-0.101841026,5568,4
-2082345.01,2822668.937,3.81,2.436087325,4.108643571,1.528887528,-1.070133638,-0.110799113,2.108270039,-1.682431979,-1.761166199,0.63828678,1.269788369,393,1
1965195.65,2487053.579,1.284666667,0.171200011,0.249235682,0.774876116,0.304021866,-0.483775839,2.103001186,-0.765666005,0.70871754,0.35979768,-1.331389606,5735,2
1147962.091,1461808.156,6.68,2.9859494,2.121353927,2.036120125,-0.10081132,-0.069323579,2.100472239,0.553752056,1.585665557,0.253173771,-1.356164967,4667,2
1353598.21,559164.974,1.395,-0.584968959,-0.401313864,1.51538083,-0.020012824,2.613545775,2.0962569,0.41945665,-0.268646396,-0.170351063,1.420855145,4887,2
-2175399.887,2622541.158,3.251333333,1.167045543,5.070924896,1.43529552,1.271185322,0.136201041,2.095747938,-1.149691609,-0.747208672,-0.89556176,1.131073001,291,2
-2102427.069,2853037.913,4.506666667,-0.222622657,4.725575479,2.590296027,-1.109545358,-0.266019374,2.094114285,-1.901401148,0.296360566,-0.974309283,1.065710666,393,1
550153.1838,2688839.371,1.601,-0.226898949,1.143602508,0.198179146,-0.131195961,-1.297510237,2.089319663,-1.11448044,1.783498222,0.98797479,1.016376402,3889,4
1629144.03,2535879.93,1.094,-0.4485069,1.677146215,0.719797249,-0.243162098,-0.853850846,2.087932129,-0.986792425,0.588102595,-0.072408212,1.427802647,5306,5
1895658.789,2275510.464,1.66,0.574341179,1.180160787,1.202194444,-0.720077299,-0.090346055,2.08415629,-0.720478352,0.836353978,1.285168407,-0.539259935,5633,5
832335.5265,860410.4941,1.313333333,-0.564220573,-0.24749094,2.158849387,0.038287335,1.963166561,2.082241785,0.039074637,1.088874308,1.261722743,0.636137546,4198,1
1362504.258,532260.2088,0.84,-0.607961038,0.087230544,1.247141899,0.025076167,2.665937451,2.081030052,0.392971373,-0.177483598,0.787839103,-1.134359708,4920,5
